Source,Catalog,Site,Locus,ProvString,Component,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType
Ruby,26WA9051-11-1,26WA9051,-,Artifact 1,Paleoarchaic,1,3.5,Obsidian,Proximal fragment,-31.2,-30.4,19,5.3,-13.3,,,,,,base incomplete,Humboldt?
Ruby,26HU4792-11-537,26HU4792,AB,"CU AB6, 030-040",Late Archaic (Locus AB),1,0.3,Obsidian,Proximal fragment,-11,,-12.3,2.1,,,,,,,orientation unclear,Indeterminate
Ruby,26WA8778-11-19,26WA8778,RS2,"CU 1, 000-010",Non-component,1,3.45,Obsidian,Proximal fragment,-22.3,-19.3,-24.1,6.2,,,,,,,,Indeterminate
Ruby,26WA9039-11-29,26WA9039,A,"SS 1, 000-005",Non-component,1,2.9,Obsidian,Proximal fragment,-17.7,-15.5,23.4,6.5,-22.1,,,,,,,Great Basin Concave Base
Ruby,26WA9039-11-11,26WA9039,NL,"SP 1, 000-010",Non-component,1,1.9,Obsidian,Proximal fragment,-15.1,-14.6,-20.5,-6.2,18.5,,88,,,,,Great Basin Stemmed
Ruby,26WA9039-11-9,26WA9039,NL,Artifact 9,Non-component,1,2.3,Obsidian,Medial fragment,-25.1,-18.5,-24.7,4.4,,,,154,,,,Indeterminate
Ruby,26WA8606-11-1,26WA8606,-,Artifact 1,Early Archaic,1,1.2,Obsidian,Proximal fragment,-15.8,-11.8,-15.8,4.7,-9.4,,,,,,partial base,Humboldt?
Ruby,26WA8611-11-6,26WA8611,NL,Artifact 6,Non-component,1,6.37,Obsidian,Proximal fragment,-40.1,-35.8,21.5,7,-15.6,,,,,,irregular base,Humboldt?
Ruby,26WA8704-11-36,26WA8704,NL,Artifact 36,Non-component,1,3.2,Obsidian,Medial fragment,-27.5,-25.9,-20.6,5.1,,,,157,,,,Dart-sized
Ruby,26HU5265-11-22,26HU5265,A,Artifact 22,Non-component,1,3.8,Obsidian,Medial fragment,-31.1,-28.3,19.9,6.1,-11.7,,,,,,shouldered?,Humboldt
Ruby,26EK11959-11-36,26EK11959,A,Artifact 36,Non-component,1,4,Cryptocrystalline silicate,Nearly complete,-36.3,-33.1,18.2,6.3,11.3,,,,,,,Humboldt
Ruby,26EK3524-11-78,26EK3524,NL,Artifact 127,Non-component,1,3,Obsidian,Proximal fragment,-27.5,-24.9,-20.8,6.2,-7.8,13.4,89,,,-9.9,base incomplete,Gatecliff
Ruby,26HU5265-11-107,26HU5265,B,"SS 1, 000-005",Non-component,1,3.2,Obsidian,Medial fragment,-24.8,-21.7,-25,6.2,,-13.5,,161,,-7,orientation?,Dart-sized
